,champ0,champ1,champ2,champ3,champ4,win
0,240,29,63,64,1,True
1,24,238,432,51,17,False
2,54,99,236,107,238,False
3,25,96,103,62,92,True
4,222,63,24,150,238,False
5,41,5,53,61,51,True
6,21,99,103,122,141,False
7,25,59,85,112,15,True
8,143,96,157,134,50,True
9,35,150,110,61,40,False
10,254,497,15,163,126,False
11,412,24,50,81,19,True
12,69,64,126,29,53,True
13,40,41,61,119,102,False
14,91,57,67,16,28,True
15,5,18,58,40,268,False
16,14,498,121,497,55,False
17,33,39,412,238,222,True
18,4,77,12,22,80,True
19,79,62,267,84,29,False
20,81,19,21,63,86,False
21,106,103,18,240,57,True
22,201,4,238,64,222,False
23,67,9,104,101,23,True
24,14,55,18,114,141,False
25,157,245,236,9,223,True
26,29,79,432,127,420,False
27,115,51,86,5,16,True
28,19,75,99,45,67,False
29,103,41,201,429,32,True
30,11,105,92,89,96,False
31,157,420,12,67,24,True
32,75,238,31,18,143,True
33,497,24,498,59,1,False
34,26,112,18,20,126,False
35,161,59,23,412,15,True
36,6,5,245,236,267,False
37,498,44,19,55,86,True
38,21,25,33,45,27,True
39,24,161,67,201,19,False
40,101,58,51,19,40,True
41,99,86,11,1,21,False
42,34,14,53,18,19,False
43,16,134,29,58,79,True
44,1,110,113,201,80,True
45,412,29,99,75,141,False
46,202,113,157,63,57,True
47,92,38,35,59,15,False
48,79,37,96,516,134,False
49,38,157,99,67,24,True
50,412,161,18,32,8,True
51,54,15,154,238,63,False
52,29,63,75,1,164,True
53,99,516,96,19,12,False
54,55,19,53,67,77,True
55,201,120,202,48,38,False
56,238,31,99,22,59,False
57,516,67,117,75,90,True
58,51,412,18,84,77,True
59,59,20,53,81,39,False
60,48,29,43,53,19,False
61,18,101,5,117,122,True
62,64,18,62,98,45,False
63,412,57,21,69,103,True
64,64,19,498,57,99,True
65,113,103,29,17,412,False
66,25,102,15,103,17,True
67,516,32,245,40,96,False
68,18,41,25,154,38,True
69,96,105,40,64,75,False
70,20,53,133,81,157,False
71,102,18,117,236,40,True
72,245,99,498,120,3,False
73,267,103,18,59,60,True
74,157,99,105,516,81,False
75,37,19,21,17,63,True
76,420,432,67,28,91,False
77,40,238,120,51,74,True
78,31,89,161,18,92,True
79,38,81,141,420,412,False
80,96,238,57,53,79,True
81,120,69,267,67,6,False
82,64,43,18,10,78,False
83,119,497,115,141,39,True
84,202,11,1,150,41,False
85,236,40,67,58,79,True
86,31,4,11,18,22,True
87,110,150,63,113,91,False
88,91,60,23,119,53,True
89,267,42,15,11,105,False
90,19,150,99,51,223,True
91,96,25,121,161,31,False
92,103,110,254,432,75,False
93,44,114,121,222,41,True
94,16,80,222,4,427,False
95,17,77,29,238,432,True
96,57,222,13,24,40,True
97,59,115,15,412,98,False
98,222,76,13,91,53,False
99,78,161,22,516,141,True
100,64,18,20,99,16,True
101,412,498,79,45,32,False
102,99,23,432,29,5,True
103,267,120,498,17,38,False
104,112,117,67,75,141,False
105,43,127,29,22,98,True
106,202,30,89,75,5,False
107,45,14,92,79,67,True
108,43,8,157,18,113,True
109,29,120,238,58,267,False
110,67,57,26,121,201,True
111,31,53,21,245,39,False
112,58,35,40,18,34,False
113,163,29,203,412,12,True
114,202,23,141,267,134,True
115,222,25,143,58,64,False
116,41,18,5,35,516,False
117,22,59,99,14,7,True
118,89,34,17,32,18,True
119,202,56,157,68,40,False
120,50,75,201,29,11,True
121,19,27,51,89,103,False
122,412,498,141,5,238,False
123,91,79,110,41,53,True
124,85,164,121,29,267,False
125,44,516,112,62,96,True
126,9,113,105,150,18,False
127,86,157,154,96,412,True
128,157,240,29,1,35,False
129,120,99,238,14,222,True
130,134,99,85,254,110,False
131,117,31,105,121,18,True
132,8,68,56,22,89,True
133,222,59,24,112,43,False
134,238,29,10,57,222,True
135,236,133,92,25,61,False
136,113,4,16,84,222,True
137,121,105,114,37,67,False
138,412,15,157,42,11,False
139,20,37,17,79,18,True
140,238,82,122,21,37,True
141,99,79,54,157,222,False
142,245,96,120,111,55,False
143,84,24,16,119,75,True
144,99,19,15,105,80,False
145,57,36,79,29,412,True
146,98,136,11,110,59,True
147,105,141,29,20,92,False
148,17,105,42,11,14,False
149,27,45,141,18,412,True
150,63,497,59,77,18,False
151,236,92,28,99,40,True
152,429,238,17,141,53,False
153,59,91,121,40,21,True
154,57,22,133,74,81,False
155,222,50,111,5,113,True
156,25,33,18,150,38,False
157,245,31,412,22,59,True
158,91,75,236,245,412,False
159,267,41,115,18,23,True
160,122,96,40,19,69,False
161,157,50,102,412,498,True
162,150,81,22,60,432,False
163,25,254,29,245,10,True
164,141,40,8,157,236,True
165,21,38,117,121,92,False
166,103,111,222,57,133,False
167,23,16,29,64,105,True
168,11,412,51,157,150,False
169,36,25,121,40,202,True
170,202,17,7,11,111,True
171,64,18,40,122,1,False
172,77,245,99,8,119,True
173,12,22,134,516,19,False
174,6,44,29,254,69,False
175,96,497,28,236,85,True
176,412,80,37,60,21,False
177,238,27,104,498,432,True
178,105,26,96,133,64,False
179,9,202,23,74,25,True
180,89,429,102,42,58,False
181,2,1,141,67,111,True
182,222,58,245,57,223,False
183,201,99,81,59,6,True
184,41,55,143,64,18,False
185,236,51,16,98,9,True
186,92,105,117,29,20,False
187,96,106,8,16,86,True
188,4,16,92,236,60,False
189,63,222,17,201,254,True
190,78,2,45,86,202,True
191,103,54,106,498,25,False
192,43,99,96,57,102,False
193,202,110,267,106,141,True
194,29,26,122,11,43,False
195,56,202,115,12,58,True
196,421,497,22,101,92,True
197,119,164,12,163,121,False
198,77,122,74,119,12,False
199,92,497,38,59,222,True
200,51,143,50,19,420,True
201,516,202,37,163,107,False
202,163,412,9,83,22,False
203,29,117,99,64,24,True
204,104,83,134,16,18,True
205,412,22,59,90,106,False
206,202,134,85,86,32,True
207,266,254,21,25,40,False
208,14,497,18,91,59,True
209,37,3,67,121,79,False
210,122,81,117,90,201,True
211,53,164,222,31,1,False
212,89,67,113,136,10,False
213,50,91,29,412,102,True
214,17,40,110,57,30,False
215,117,92,59,67,61,True
216,15,19,58,245,143,True
217,82,38,236,497,11,False
218,96,105,10,421,98,False
219,516,102,498,12,45,True
220,150,67,201,11,157,False
221,48,90,429,412,106,True
222,82,48,245,22,516,False
223,51,163,412,33,24,True
224,59,114,105,141,15,True
225,18,412,4,104,48,False
226,21,59,117,75,245,False
227,6,7,412,62,18,True
228,141,53,498,91,79,False
229,17,119,11,34,80,True
230,79,40,15,245,157,True
231,10,222,412,24,28,False
232,23,61,98,22,28,False
233,76,18,412,54,240,True
234,202,127,141,43,157,False
235,75,37,113,238,51,True
236,99,245,17,19,15,False
237,21,86,53,77,25,True
238,56,111,57,67,103,False
239,58,8,412,110,141,True
240,114,121,16,42,67,True
241,131,222,516,107,412,False
242,19,429,12,58,61,True
243,516,1,18,141,99,False
244,61,421,67,19,53,True
245,63,75,412,111,23,False
246,45,113,202,54,157,False
247,121,267,96,98,245,True
248,78,22,245,113,120,False
249,157,161,429,412,23,True
250,432,134,24,23,22,False
251,222,92,105,1,50,True
252,31,119,1,122,412,False
253,25,157,516,60,236,True
254,55,17,32,21,37,True
255,14,114,74,64,18,False
256,57,16,48,134,67,True
257,115,18,98,24,432,False
258,58,498,497,134,77,True
259,516,412,104,121,110,False
260,133,62,34,40,18,True
261,222,267,64,75,90,False
262,113,84,81,58,412,False
263,4,432,27,498,141,True
264,92,432,69,81,19,True
265,79,29,412,61,78,False
266,202,245,89,12,254,True
267,25,5,157,17,22,False
268,30,103,41,31,222,True
269,133,40,6,157,120,False
270,16,101,24,498,141,True
271,113,43,67,134,92,False
272,245,201,51,62,24,False
273,98,103,21,11,25,True
274,64,75,4,267,29,False
275,12,236,161,60,24,True
276,222,201,104,69,23,False
277,99,90,64,110,412,True
278,157,85,19,18,201,False
279,24,61,21,45,25,True
280,141,432,114,103,498,True
281,75,29,134,30,64,False
282,16,34,110,33,157,False
283,27,96,117,238,141,True
284,222,141,236,157,432,False
285,40,86,56,21,13,True
286,9,74,3,37,22,True
287,32,51,53,164,63,False
288,4,40,80,11,110,True
289,67,103,131,59,75,False
290,18,157,111,24,74,False
291,25,29,56,91,86,True
292,85,222,24,412,15,True
293,92,102,429,37,11,False
294,53,18,157,8,19,True
295,37,222,68,92,516,False
296,113,245,89,14,236,False
297,81,40,58,141,34,True
298,68,62,117,134,18,False
299,78,136,92,498,99,True
300,254,53,29,115,39,True
301,16,45,236,122,64,False
302,115,157,267,222,14,False
303,36,28,40,51,84,True
304,429,141,412,238,236,True
305,17,39,101,133,28,False
306,89,223,236,113,61,True
307,4,76,29,201,27,False
308,111,41,105,18,102,True
309,51,33,75,44,99,False
310,76,103,16,67,86,True
311,38,516,64,238,163,False
312,122,223,498,497,13,False
313,201,18,102,157,90,True
314,79,55,29,58,25,False
315,91,32,16,67,36,True
316,53,41,498,102,91,True
317,412,62,51,245,115,False
318,33,111,98,103,81,True
319,19,12,157,80,117,False
320,53,222,11,61,35,True
321,163,21,36,32,40,False
322,29,26,48,240,82,False
323,77,91,68,21,267,True
324,141,30,105,51,16,False
325,222,89,62,5,43,True
326,240,57,81,105,254,True
327,102,45,236,111,150,False
328,236,8,22,412,57,True
329,25,90,98,51,141,False
330,40,141,98,8,236,True
331,222,99,16,5,516,False
332,112,154,10,236,40,True
333,67,53,45,59,68,False
334,29,57,37,79,157,True
335,91,44,28,75,18,False
336,222,11,85,238,44,False
337,111,84,102,24,51,True
338,18,99,54,412,59,True
339,40,13,141,21,78,False
340,21,3,37,59,427,True
341,85,120,18,157,161,False
342,222,102,267,161,122,True
343,254,98,429,90,19,False
344,4,27,121,498,17,True
345,267,79,54,14,18,False
346,32,18,131,31,497,True
347,28,420,498,12,92,False
348,7,83,24,202,150,True
349,117,1,427,86,67,False
350,51,31,154,115,12,True
351,44,84,141,10,67,False
352,150,89,119,19,236,False
353,117,84,80,18,113,True
354,61,420,421,222,432,True
355,22,412,85,254,99,False
356,16,120,69,86,18,False
357,40,22,59,202,105,True
358,17,15,11,516,45,False
359,497,25,83,102,18,True
360,67,117,75,69,141,False
361,9,157,61,222,497,True
362,67,53,19,31,90,True
363,44,4,29,76,86,False
364,141,150,103,29,432,True
365,24,8,18,126,40,False
366,163,19,201,498,111,False
367,157,53,67,59,27,True
368,113,57,90,143,202,False
369,67,412,78,134,92,True
370,44,42,238,33,164,False
371,24,15,115,141,201,True
372,38,104,78,51,267,False
373,86,103,113,40,18,True
374,110,92,412,107,55,False
375,89,157,121,21,84,True
376,4,131,86,110,25,False
377,17,150,120,89,30,True
378,45,10,81,64,223,False
379,92,111,121,112,18,True
380,92,89,22,154,99,True
381,115,31,51,37,516,False
382,497,238,131,18,102,True
383,236,133,31,412,122,False
384,18,92,267,19,245,False
385,69,141,24,96,40,True
386,427,238,25,202,80,True
387,84,122,51,19,14,False
388,22,16,34,11,75,False
389,58,106,21,516,99,True
390,37,41,84,79,18,True
391,61,23,59,16,222,False
392,10,141,427,90,18,True
393,432,161,5,110,59,False
394,45,18,412,36,150,True
395,59,61,5,429,40,False
396,37,202,32,24,99,False
397,412,240,67,5,45,True
398,79,236,115,40,157,False
399,98,11,143,222,7,True
400,90,26,24,19,96,True
401,92,50,67,20,53,False
402,59,18,57,40,84,True
403,48,111,121,29,55,False
404,75,37,21,11,268,False
405,6,22,117,64,131,True
406,12,516,18,154,1,False
407,6,201,222,103,19,True
408,119,75,89,107,63,True
409,41,99,110,516,13,False
410,24,77,498,201,238,False
411,121,245,119,12,86,True
412,96,59,38,25,516,False
413,133,69,79,40,29,True
414,79,412,119,131,164,True
415,516,91,121,67,40,False
416,157,126,120,25,222,True
417,106,45,58,67,38,False
418,154,105,81,86,143,True
419,110,412,266,69,5,False
420,13,28,58,222,412,True
421,236,110,24,16,113,False
422,126,119,117,3,254,False
423,35,103,143,92,18,True
424,48,1,24,61,81,True
425,21,64,268,54,53,False
426,201,141,498,420,134,False
427,80,157,222,412,19,True
428,154,48,15,267,238,False
429,44,84,498,92,77,True
430,11,164,8,117,222,True
431,26,69,99,236,31,False
432,18,19,16,23,38,False
433,106,34,2,432,119,True
434,25,420,236,141,103,True
435,91,20,150,29,44,False
436,245,29,23,16,35,False
437,141,17,412,222,55,True
438,18,91,19,99,126,True
439,58,245,120,81,516,False
440,61,98,76,266,18,True
441,202,412,141,23,238,False
442,21,7,28,157,412,True
443,25,238,84,222,11,False
444,22,117,92,61,59,True
445,141,99,79,16,115,False
446,267,67,113,103,80,False
447,44,102,38,92,119,True
448,119,497,92,64,115,False
449,101,21,114,76,412,True
450,157,17,421,110,412,True
451,238,497,15,141,61,False
452,254,164,37,61,29,True
453,110,53,157,62,101,False
454,240,157,81,11,59,False
455,119,99,55,24,5,True
456,121,157,4,40,222,True
457,202,136,432,120,150,False
458,64,92,90,22,412,True
459,61,420,154,21,267,False
460,74,154,21,99,516,False
461,86,222,412,19,43,True
462,121,133,61,43,119,False
463,18,245,105,36,34,True
464,223,17,119,63,4,True
465,8,498,412,24,106,False
466,53,107,75,29,3,False
467,30,83,89,59,236,True
468,18,58,89,57,103,True
469,64,105,37,67,102,False
470,238,19,236,150,117,False
471,75,201,254,202,8,True
472,75,119,40,90,33,False
473,57,245,236,24,201,True
474,1,63,516,11,110,True
475,254,25,498,115,45,False
476,67,53,45,421,19,False
477,90,157,201,429,32,True
478,141,69,67,23,53,False
479,126,31,222,26,91,True
480,59,122,61,18,412,True
481,67,33,163,89,96,False
482,63,29,55,254,92,True
483,82,35,497,67,141,False
484,164,40,59,18,103,True
485,63,26,236,28,62,False
486,24,67,34,516,53,True
487,45,23,119,27,64,False
488,202,115,60,143,83,False
489,236,133,99,122,105,True
490,23,131,37,18,89,False
491,111,99,67,267,64,True
492,2,67,102,236,1,False
493,134,17,111,21,79,True
494,202,63,223,11,31,False
495,131,86,44,245,119,True
496,119,40,61,35,78,False
497,23,22,4,201,141,True
498,141,58,69,236,40,False
499,268,498,64,202,50,True
500,18,157,19,14,53,False
501,23,25,15,98,105,True
502,202,81,99,40,98,False
503,77,26,63,31,22,True
504,516,5,43,222,45,True
505,89,1,67,122,113,False
506,5,99,57,202,412,False
507,43,516,37,18,141,True
508,90,25,202,141,120,True
509,412,22,75,102,30,False
510,119,37,24,516,4,False
511,79,112,432,56,21,True
512,121,67,267,126,61,False
513,161,64,16,10,81,True
514,201,164,120,67,245,True
515,16,22,112,11,58,False
516,516,41,26,498,32,True
517,29,56,236,99,92,False
518,19,53,134,62,22,True
519,48,51,84,157,24,False
520,222,33,99,203,238,True
521,117,103,29,122,498,False
522,18,23,117,57,45,True
523,96,98,69,36,412,False
524,267,12,498,105,2,True
525,240,238,22,161,113,False
526,5,86,17,63,67,False
527,29,12,24,101,27,True
528,516,157,86,67,432,True
529,82,89,59,254,26,False
530,57,21,86,238,60,True
531,99,59,98,202,516,False
532,67,37,19,114,115,False
533,57,113,12,157,51,True
534,141,37,84,58,67,False
535,29,164,44,103,57,True
536,121,18,90,17,53,True
537,63,1,157,76,29,False
538,16,81,54,80,245,True
539,161,58,51,40,64,False
540,1,157,141,143,67,True
541,110,432,64,92,69,False
542,41,222,53,79,76,True
543,6,141,16,236,45,False
544,24,90,222,55,98,True
545,31,131,57,37,51,False
546,61,102,432,119,59,True
547,75,22,107,25,38,False
548,18,101,64,92,89,True
549,25,17,238,421,22,False
550,12,127,122,21,19,False
551,16,6,76,67,115,True
552,17,34,222,267,23,True
553,141,15,40,157,90,False
554,103,50,202,19,40,True
555,67,412,86,33,161,False
556,497,57,498,24,8,True
557,40,67,79,134,51,False
558,516,117,19,18,238,True
559,15,24,267,55,154,False
560,68,498,432,35,85,False
561,12,121,91,17,22,True
562,11,80,22,75,89,True
563,40,29,98,45,113,False
564,6,254,222,40,1,True
565,4,25,236,79,240,False
566,54,81,92,59,432,True
567,12,154,150,238,202,False
568,37,498,55,86,107,False
569,11,245,240,429,111,True
570,32,112,67,40,17,False
571,117,96,84,8,56,True
572,63,429,48,19,105,True
573,90,266,92,99,22,False
574,115,12,5,92,18,False
575,79,50,222,101,16,True
576,8,222,117,92,57,False
577,38,18,412,64,39,True
578,498,37,79,238,150,False
579,245,10,113,81,45,True
580,43,29,33,115,85,False
581,61,59,223,67,412,True
582,161,91,67,113,99,True
583,222,79,117,101,78,False
584,157,40,126,202,31,True
585,238,32,122,22,267,False
586,41,236,64,497,4,True
587,126,67,30,111,412,False
588,202,63,3,267,64,False
589,36,21,58,61,85,True
590,44,96,236,76,24,True
591,85,81,141,516,8,False
592,43,86,31,119,38,True
593,202,50,120,84,412,False
594,105,75,23,222,16,True
595,420,21,141,99,89,False
596,79,41,81,37,7,False
597,4,12,8,154,96,True
598,150,103,236,161,154,True
599,113,238,92,202,63,False
600,18,412,1,64,516,True
601,38,17,25,59,22,False
602,105,2,53,202,64,False
603,40,35,114,115,67,True
604,63,84,238,111,126,False
605,19,110,61,157,141,True
606,57,15,43,4,27,False
607,96,267,3,19,50,True
608,412,41,79,51,75,True
609,11,103,222,516,58,False
610,23,498,99,141,37,True
611,163,35,150,96,26,False
612,111,164,29,84,33,True
613,89,86,55,28,119,False
614,120,22,45,10,12,False
615,27,245,29,117,266,True
616,64,99,96,7,23,False
617,77,412,236,238,57,True
618,72,37,69,59,18,True
619,27,91,57,29,141,False
620,119,69,19,111,432,False
621,498,497,3,113,157,True
622,202,37,113,38,240,False
623,14,15,126,12,79,True
624,222,103,59,64,267,True
625,89,136,81,62,79,False
626,103,3,45,21,106,False
627,102,24,18,223,63,True
628,23,51,90,516,12,True
629,412,11,163,67,24,False
630,115,17,2,22,25,False
631,6,117,427,245,429,True
632,34,40,150,15,79,True
633,119,36,103,516,412,False
634,90,39,120,236,1,True
635,14,29,103,43,126,False
636,16,141,420,22,1,True
637,245,32,202,99,122,False
638,120,157,412,29,126,False
639,119,240,53,69,76,True
640,53,67,31,38,35,True
641,54,86,18,30,25,False
642,40,516,102,61,21,False
643,79,27,4,222,117,True
644,21,43,64,103,420,False
645,238,113,62,16,222,True
646,21,19,99,163,131,True
647,45,121,412,29,14,False
648,14,238,432,11,51,False
649,18,112,33,16,86,True
650,3,238,497,131,102,True
651,254,516,18,82,31,False
652,106,114,131,223,429,False
653,154,51,55,37,75,True
654,24,55,4,79,22,True
655,236,141,43,31,99,False
656,201,81,64,420,236,False
657,18,40,245,79,58,True
658,141,222,126,238,44,False
659,203,18,80,201,5,True
660,238,3,110,24,122,True
661,75,516,412,39,222,False
662,12,236,17,120,516,False
663,84,113,91,412,18,True
664,21,157,104,53,58,True
665,63,122,32,51,42,False
666,63,421,51,75,16,False
667,32,222,161,432,85,True
668,119,92,4,64,37,False
669,38,201,222,121,41,True
670,18,37,134,106,24,True
671,59,121,40,4,96,False
672,79,34,40,96,98,True
673,18,86,267,112,121,False
674,121,31,96,58,40,True
675,120,13,67,37,41,False
676,5,41,67,143,55,True
677,63,267,114,24,429,False
678,12,141,245,21,91,True
679,115,29,53,57,31,False
